"Gene","Non.unique.Gene.name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p","Empirical_p"
"crp_2","","CRP-like cAMP-activated global transcriptional regulator",1058,0,66,149,94.1281138790036,100,Inf,1.69116148481848e-142,6.25729749382838e-138,1.20332644112084e-139,4,4,0,0.125,0.125,0.0099009900990099
"rpoB","","DNA-directed RNA polymerase subunit beta",1034,0,90,149,91.9928825622776,100,Inf,2.26385274828078e-131,8.3762551686389e-127,1.28865464132906e-128,4,4,0,0.125,0.125,0.0099009900990099
"gatB","","Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B",1010,0,114,149,89.8576512455516,100,Inf,5.37406716022489e-122,1.98840484928321e-117,2.3956684931123e-119,4,4,0,0.125,0.125,0.0099009900990099
"gltA","","hypothetical protein",965,0,159,149,85.8540925266904,100,Inf,1.52297682634913e-107,5.63501425749177e-103,4.50801140599342e-105,4,4,0,0.125,0.125,0.0099009900990099
"prmC_3","","hypothetical protein",887,0,237,149,78.914590747331,100,Inf,1.99963546069462e-88,7.39865120457009e-84,3.79418010490774e-86,5,5,0,0.0625,0.0625,0.0099009900990099
"hsdR","","Type I restriction enzyme EcoR124II R protein",881,0,243,149,78.3807829181495,100,Inf,3.60865838417911e-87,1.33520360214627e-82,6.60991882250629e-85,5,5,0,0.0625,0.0625,0.0099009900990099
"group_1760","","hypothetical protein",802,0,322,149,71.3523131672598,100,Inf,1.3600417199566e-72,5.03215436383943e-68,4.86668700564742e-71,4,4,0,0.125,0.125,0.0099009900990099
"nrgA","","Ammonium transporter",781,0,343,149,69.4839857651246,100,Inf,3.21365773596674e-69,1.18905336230769e-64,1.10712603566824e-67,4,4,0,0.125,0.125,0.0099009900990099
"fusA_2","","Elongation factor G",764,0,360,149,67.9715302491103,100,Inf,1.29830832767563e-66,4.80374081239983e-62,4.30057369059967e-65,4,4,0,0.125,0.125,0.0099009900990099
"rpmI","","50S ribosomal protein L35",764,0,360,149,67.9715302491103,100,Inf,1.29830832767563e-66,4.80374081239983e-62,4.30057369059967e-65,4,4,0,0.125,0.125,0.0099009900990099
"rpoA","","DNA-directed RNA polymerase subunit alpha",740,0,384,149,65.8362989323843,100,Inf,4.1815047719809e-63,1.54715676563293e-58,9.26996264609307e-62,4,4,0,0.125,0.125,0.0099009900990099
"bepA_3","","Beta-barrel assembly-enhancing protease",734,0,390,149,65.3024911032028,100,Inf,2.94532225456244e-62,1.0897692341881e-57,6.35804687390959e-61,4,4,0,0.125,0.125,0.0099009900990099
"glnB","","Nitrogen regulatory protein P-II",729,0,395,149,64.8576512455516,100,Inf,1.46951210334468e-61,5.43719478237532e-57,2.93902420668936e-60,4,4,0,0.125,0.125,0.0198019801980198
"rpsI","","30S ribosomal protein S9",723,0,401,149,64.3238434163701,100,Inf,9.88369207934415e-61,3.65696606935734e-56,1.88990494540431e-59,3,3,0,0.25,0.25,0.0297029702970297
"alaS","","Alanine--tRNA ligase",722,0,402,149,64.2348754448399,100,Inf,1.35470505863664e-60,5.01240871695556e-56,2.58905408933655e-59,3,3,0,0.25,0.25,0.0099009900990099
"glpD2","","Glycerol-3-phosphate dehydrogenase 2",719,0,405,149,63.9679715302491,100,Inf,3.47437980347359e-60,1.28552052728523e-55,6.37975447784233e-59,3,3,0,0.25,0.25,0.0099009900990099
"group_13043","","hypothetical protein",718,0,406,149,63.8790035587189,100,Inf,4.74946007618231e-60,1.75730022818745e-55,8.71676700489809e-59,4,4,0,0.125,0.125,0.0297029702970297
"pccB","","Propionyl-CoA carboxylase beta chain",717,0,407,149,63.7900355871886,100,Inf,6.48820590259494e-60,2.40063618396013e-55,1.18843375443571e-58,4,4,0,0.125,0.125,0.0099009900990099
"rplT","","50S ribosomal protein L20",715,0,409,149,63.6120996441281,100,Inf,1.2084551774778e-59,4.47128415666787e-55,2.1896592344113e-58,4,4,0,0.125,0.125,0.0198019801980198
"cheX","","CheY-P phosphatase CheX",715,0,409,149,63.6120996441281,100,Inf,1.2084551774778e-59,4.47128415666787e-55,2.1896592344113e-58,4,4,0,0.125,0.125,0.0099009900990099
"queD","","6-carboxy-5,6,7,8-tetrahydropterin synthase",713,0,411,149,63.4341637010676,100,Inf,2.24493981815659e-59,8.30627732717939e-55,4.06373646143806e-58,4,4,0,0.125,0.125,0.0099009900990099
"aroF","","Phospho-2-dehydro-3-deoxyheptonate aldolase",713,0,411,149,63.4341637010676,100,Inf,2.24493981815659e-59,8.30627732717939e-55,4.06373646143806e-58,4,4,0,0.125,0.125,0.0099009900990099
"group_45935","","hypothetical protein",712,0,412,149,63.3451957295374,100,Inf,3.0568233931711e-59,1.13102465547331e-54,5.53068291184992e-58,4,4,0,0.125,0.125,0.0099009900990099
"scpB","","Segregation and condensation protein B",710,0,414,149,63.1672597864769,100,Inf,5.65671978652484e-59,2.09298632101419e-54,1.01355269782769e-57,4,4,0,0.125,0.125,0.0099009900990099
"group_6899","","hypothetical protein",710,0,414,149,63.1672597864769,100,Inf,5.65671978652484e-59,2.09298632101419e-54,1.01355269782769e-57,4,4,0,0.125,0.125,0.0099009900990099
"sppA","","hypothetical protein",709,0,415,149,63.0782918149466,100,Inf,7.68768664963893e-59,2.84444406036641e-54,1.37612194502487e-57,4,4,0,0.125,0.125,0.0099009900990099
"trxA","","Thioredoxin",708,0,416,149,62.9893238434164,100,Inf,1.04412090313599e-58,3.86324734160315e-54,1.8663030635764e-57,4,4,0,0.125,0.125,0.0099009900990099
"rhdA","","Thiosulfate sulfurtransferase",707,0,417,149,62.9003558718861,100,Inf,1.41720007475942e-58,5.24364027660987e-54,2.50652020870453e-57,4,4,0,0.125,0.125,0.0099009900990099
"pntB--pntA_2","--","NAD(P) transhydrogenase subunit beta--NAD(P) transhydrogenase subunit alpha",707,0,417,149,62.9003558718861,100,Inf,1.41720007475942e-58,5.24364027660987e-54,2.50652020870453e-57,4,4,0,0.125,0.125,0.0099009900990099
"apbC","","Iron-sulfur cluster carrier protein",705,0,419,149,62.7224199288256,100,Inf,2.60598706921546e-58,9.6421521560972e-54,4.60465719011328e-57,4,4,0,0.125,0.125,0.0198019801980198
"group_3978","","hypothetical protein",704,0,420,149,62.6334519572954,100,Inf,3.53049200567755e-58,1.30628204210069e-53,6.23523647780761e-57,4,4,0,0.125,0.125,0.0099009900990099
"group_16616","","hypothetical protein",703,0,421,149,62.5444839857651,100,Inf,4.78000105282018e-58,1.76860038954347e-53,8.3937669144268e-57,4,4,0,0.125,0.125,0.0099009900990099
"group_18549","","hypothetical protein",702,0,422,149,62.4555160142349,100,Inf,6.46772654303751e-58,2.39305882092388e-53,1.13307709324047e-56,4,4,0,0.125,0.125,0.0099009900990099
"group_8810","","hypothetical protein",701,0,423,149,62.3665480427046,100,Inf,8.74595646008375e-58,3.23600389023099e-53,1.53147368207808e-56,4,4,0,0.125,0.125,0.0099009900990099
"gyrB_1","","Type 2 topoisomerase subunit B",700,0,424,149,62.2775800711744,100,Inf,1.18194175745905e-57,4.37318450259848e-53,2.06282287858419e-56,4,4,0,0.125,0.125,0.0099009900990099
"group_7410","","hypothetical protein",700,0,424,149,62.2775800711744,100,Inf,1.18194175745905e-57,4.37318450259848e-53,2.06282287858419e-56,4,4,0,0.125,0.125,0.0297029702970297
"aroC","","Chorismate synthase",700,0,424,149,62.2775800711744,100,Inf,1.18194175745905e-57,4.37318450259848e-53,2.06282287858419e-56,4,4,0,0.125,0.125,0.0099009900990099
"glmM","","Phosphoglucosamine mutase",699,0,425,149,62.1886120996441,100,Inf,1.59631663242645e-57,5.90637153997786e-53,2.76904432254002e-56,4,4,0,0.125,0.125,0.0099009900990099
"group_7945","","putative FAD-linked oxidoreductase",698,0,426,149,62.0996441281139,100,Inf,2.15465273156261e-57,7.97221510678164e-53,3.7253341620475e-56,4,4,0,0.125,0.125,0.0495049504950495
"group_10964--group_17994","--","hypothetical protein--hypothetical protein",698,0,426,149,62.0996441281139,100,Inf,2.15465273156261e-57,7.97221510678164e-53,3.7253341620475e-56,4,4,0,0.125,0.125,0.0099009900990099
"mrcA_2--group_35063","--","Penicillin-binding protein 1A--hypothetical protein",696,0,428,149,61.9217081850534,100,Inf,3.91835641314086e-57,1.44979187286212e-52,6.74949661481433e-56,4,4,0,0.125,0.125,0.0099009900990099
"group_14243","","hypothetical protein",695,0,429,149,61.8327402135231,100,Inf,5.27927740512215e-57,1.95333263989519e-52,9.08104435097719e-56,4,4,0,0.125,0.125,0.0099009900990099
"rpsT","","hypothetical protein",695,0,429,149,61.8327402135231,100,Inf,5.27927740512215e-57,1.95333263989519e-52,9.08104435097719e-56,3,3,0,0.25,0.25,0.0198019801980198
"rpsU","","30S ribosomal protein S21",695,0,429,149,61.8327402135231,100,Inf,5.27927740512215e-57,1.95333263989519e-52,9.08104435097719e-56,4,4,0,0.125,0.125,0.0099009900990099
"cheW_1","","Chemotaxis protein CheW",694,0,430,149,61.7437722419929,100,Inf,7.10860841293939e-57,2.63018511278757e-52,1.20650693247136e-55,4,4,0,0.125,0.125,0.0099009900990099
"ndk","","Nucleoside diphosphate kinase",692,0,432,149,61.5658362989324,100,Inf,1.28655305436981e-56,4.76024630116829e-52,2.17959995474739e-55,4,4,0,0.125,0.125,0.0099009900990099
"xcpT","","Type II secretion system protein G",690,0,434,149,61.3879003558719,100,Inf,2.32295936966314e-56,8.5949496677536e-52,3.92284329883779e-55,4,4,0,0.125,0.125,0.0099009900990099
"lpxC","","UDP-3-O-acyl-N-acetylglucosamine deacetylase",689,0,435,149,61.2989323843416,100,Inf,3.11863970547985e-56,1.15389669102754e-51,5.26412724008916e-55,4,4,0,0.125,0.125,0.0198019801980198
